datetime,main.temp,main.humidity,main.feels_like,city_name
2026-01-01 00:00:01+08:00,26.25,89.0,26.25,Angeles City
2026-01-01 00:00:03+08:00,24.17,91.0,25.02,Antipolo
2026-01-01 00:00:04+08:00,24.43,94.0,25.38,Bacolod
2026-01-01 00:00:10+08:00,15.36,97.0,15.48,Baguio
2026-01-01 00:00:12+08:00,26.39,87.0,26.39,Bais
2026-01-01 00:00:19+08:00,24.68,85.0,25.42,Batangas City
2026-01-01 00:00:22+08:00,26.08,87.0,26.08,Baybay
2026-01-01 00:00:28+08:00,25.98,88.0,25.98,Bogo
2026-01-01 00:00:30+08:00,24.25,92.0,25.13,Borongan
2026-01-01 00:00:33+08:00,26.12,86.0,26.12,Butuan
2026-01-01 00:00:34+08:00,26.11,68.0,26.11,Cabadbaran
2026-01-01 00:00:36+08:00,23.79,85.0,24.44,Cabanatuan City
2026-01-01 00:00:41+08:00,26.37,87.0,26.37,Cadiz
2026-01-01 00:00:04+08:00,24.39,78.0,24.92,Cagayan de Oro
2026-01-01 00:00:47+08:00,26.1,83.0,26.1,Calamba
2026-01-01 00:00:50+08:00,24.26,93.0,25.17,Calbayog City
2026-01-01 00:00:52+08:00,26.77,80.0,29.24,Caloocan City
2026-01-01 00:01:01+08:00,24.66,90.0,25.53,Catbalogan
2026-01-01 00:00:07+08:00,26.81,83.0,29.58,Cebu City
2026-01-01 00:01:17+08:00,21.72,88.0,22.25,Dagupan
2026-01-01 00:01:25+08:00,26.05,89.0,26.05,Davao
2026-01-01 00:01:27+08:00,25.04,90.0,25.95,Digos
2026-01-01 00:01:28+08:00,24.78,92.0,25.72,Dipolog
2026-01-01 00:01:30+08:00,25.99,83.0,25.99,Dumaguete
2026-01-01 00:00:26+08:00,25.73,87.0,26.63,General Santos
2026-01-01 00:01:40+08:00,25.04,89.0,25.92,Gingoog City
2026-01-01 00:01:46+08:00,23.37,94.0,24.22,Iligan City
2026-01-01 00:01:48+08:00,25.11,93.0,26.1,Iloilo City
2026-01-01 00:01:57+08:00,23.7,89.0,24.45,Kidapawan
